"avatar_id","avatar_name","gender","premium","preview_image_url","preview_video_url"
"Ivan_public_2_20240312","Ivan in Suit","male","False","https://files2.heygen.ai/avatar/v3/edbc3c434aa64141beb3e6b20602d781_14903/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/edbc3c434aa64141beb3e6b20602d781_14903/preview_video_talk_1.mp4"
"Ivan_public_4_20240312","Ivan in Sweater","male","False","https://files2.heygen.ai/avatar/v3/835cf0a1642c4e8e92d206ea277920e1_14903/preview_talk_5.webp","https://files2.heygen.ai/avatar/v3/835cf0a1642c4e8e92d206ea277920e1_14903/preview_video_talk_5.mp4"
"Jason_public_2_20240312","Jason in Black Jacket","male","False","https://files2.heygen.ai/avatar/v3/21374cc61f4c4a81971088ea00bbfd1f_15009/preview_target.webp","https://files2.heygen.ai/avatar/v3/21374cc61f4c4a81971088ea00bbfd1f_15009/preview_video_target.mp4"
"Jason_public_3_20240312","Jason in Blue Suit","male","False","https://files2.heygen.ai/avatar/v3/0622907387de443193028d6f055a1343_15009/preview_talk_4.webp","https://files2.heygen.ai/avatar/v3/0622907387de443193028d6f055a1343_15009/preview_video_talk_4.mp4"
"Jason_public_20240312","Jason in Gray Shirt","male","False","https://files2.heygen.ai/avatar/v3/7315c3664db441a48a19d55ef80c0cac_15009/preview_talk_2.webp","https://files2.heygen.ai/avatar/v3/7315c3664db441a48a19d55ef80c0cac_15009/preview_video_talk_2.mp4"
"Javi_Intense_Sitting_Speaking_Front_public","Javi Intense Sitting Speaking Front","male","False","https://files2.heygen.ai/avatar/v3/312bf2c4cf0b4bdbb4fafd980d81d9b0_45410/preview_target.webp","https://files2.heygen.ai/avatar/v3/312bf2c4cf0b4bdbb4fafd980d81d9b0_45410/preview_video_target.mp4"
"Javi_Intense_Sitting_Speaking_Side_public","Javi Intense Sitting Speaking Side","male","False","https://files2.heygen.ai/avatar/v3/f1e297570b5c4b4b9133e79916d1de5a_45420/preview_target.webp","https://files2.heygen.ai/avatar/v3/f1e297570b5c4b4b9133e79916d1de5a_45420/preview_video_target.mp4"
"Javi_Intense_Sitting_Speaking_public","Javi Intense Sitting Speaking ","male","False","https://files2.heygen.ai/avatar/v3/40083b4aa0c943a0b4c34856e8467752_46360/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/40083b4aa0c943a0b4c34856e8467752_46360/preview_video_talk_1.mp4"
"Javi_Intense_Speaking_Front_2_public","Javi Intense Speaking Front 2","male","False","https://files2.heygen.ai/avatar/v3/2ab72d3e275548daa55bb21fa3aa9a48_45410/preview_talk_1.webp","https://files2.heygen.ai/avatar/v3/2ab72d3e275548daa55bb21fa3aa9a48_45410/preview_video_talk_1.mp4"
"Javi_Intense_Speaking_Front_3_public","Javi Intense Speaking Front 3","male","False","https://files2.heygen.ai/avatar/v3/d0c93e4499914c3cb8a6a80c75d0c1ae_46360/preview_target.webp","https://files2.heygen.ai/avatar/v3/d0c93e4499914c3cb8a6a80c75d0c1ae_46360/preview_video_target.mp4"
"Javi_Intense_Speaking_Front_public","Javi Intense Speaking Front","male","False","https://files2.heygen.ai/avatar/v3/4ec8f26f56bc44bda131c3b1029fc397_42910/preview_talk_2.webp","https://files2.heygen.ai/avatar/v3/4ec8f26f56bc44bda131c3b1029fc397_42910/preview_video_talk_2.mp4"
